#Data take from Libert et al 2017
#https://www.ncbi.nlm.nih.gov/pubmed/29063188
N	Long	Lat	Freq
21	-1.32	34.88	0.33
66	3.68	32.49	0.17
60	3.68	32.49	0.22
44	3.67	32.49	0.23
40	17.70	-14.66	0.00
72	15.99	-16.34	0.00
138	12.58	-16.98	0.01
108	12.15	-15.20	0.00
162	12.95	-15.64	0.01
68	12.11	-15.78	0.00
40	12.62	-15.92	0.00
306	12.15	-15.20	0.00
192	12.15	-15.20	0.00
30	12.65	-17.06	0.00
36	13.44	-16.70	0.00
38	23.57	-17.87	0.00
40	24.05	-23.42	0.00
18	22.31	-18.48	0.00
34	22.69	-22.05	0.00
20	22.69	-22.05	0.00
42	21.24	-20.24	0.00
52	21.24	-20.24	0.00
40	23.02	-24.89	0.00
38	21.37	-22.01	0.00
54	24.95	-20.80	0.00
22	23.02	-24.89	0.00
22	21.41	-22.96	0.00
40	20.18	-23.79	0.00
30	24.95	-20.80	0.00
36	25.90	-23.71	0.00
22	22.31	-18.48	0.00
14	23.02	-24.89	0.00
62	14.67	11.33	0.08
56	10.42	3.08	0.00
102	14.15	11.05	0.39
48	14.50	10.50	0.23
102	14.15	11.05	0.21
36	11.55	6.47	0.14
134	12.50	6.00	0.00
42	14.24	10.98	0.00
252	10.67	6.20	0.00
36	14.24	10.98	0.00
36	14.75	2.92	0.00
124	14.50	13.00	0.02
42	11.55	6.47	0.00
54	15.31	14.12	0.02
100	17.95	13.18	-
44	17.54	12.89	0.02
46	15.97	7.88	0.00
48	16.32	8.98	0.00
104	15.28	-4.27	0.00
22	14.16	-4.91	0.00
30	29.97	1.85	0.00
68	28.66	28.02	0.00
152	41.36	11.60	0.01
152	38.66	9.87	0.00
108	38.66	9.87	0.00
80	32.00	15.00	0.00
138	34.41	7.95	0.00
36	37.47	12.60	0.00
132	36.64	5.71	0.00
80	36.23	7.27	0.00
74	34.58	8.25	0.00
152	37.31	7.84	0.00
48	35.41	7.56	0.00
74	41.87	9.58	0.00
188	41.87	9.58	0.02
100	35.59	7.00	0.00
150	37.31	7.84	0.00
88	39.47	13.50	0.00
52	37.76	6.84	0.00
392	-1.02	7.95	0.00
70	-0.55	6.17	0.00
42	-1.29	10.53	0.00
10	40.12	-3.22	0.00
48	40.49	-2.21	0.00
34	38.02	2.33	0.00
16	37.78	5.60	0.00
2	37.16	0.40	0.00
32	36.68	2.83	0.00
82	37.07	3.32	0.00
38	39.24	3.47	0.00
22	37.14	0.37	0.00
20	36.08	0.51	0.00
14	37.15	-0.72	0.00
24	37.48	5.25	0.00
44	34.53	-0.11	0.00
14	35.26	1.09	0.00
14	37.14	0.43	0.00
8	35.18	0.11	0.00
22	35.83	-0.37	0.00
48	40.44	-2.39	0.00
36	37.76	-3.48	0.00
14	40.12	-3.22	0.00
28	36.09	0.68	0.00
2	36.09	0.68	0.00
24	37.58	2.51	0.00
12	35.26	1.09	0.00
18	36.70	1.10	0.00
28	40.50	-2.37	0.00
32	35.26	1.09	0.00
20	38.29	-3.40	0.00
30	35.85	0.52	0.00
26	35.99	0.48	0.00
44	37.07	3.32	0.00
28	37.18	0.45	0.00
24	35.49	3.32	0.00
310	33.78	-13.98	0.00
100	33.78	-13.98	0.00
154	-3.77	34.05	0.14
180	-6.02	34.03	0.18
24	-6.02	34.03	0.21
114	-6.02	34.03	0.26
22	-6.02	34.03	0.23
78	-8.23	29.00	0.14
66	-4.84	33.12	0.16
28	39.36	-15.15	0.00
22	34.10	-14.92	0.00
46	32.89	-24.35	0.00
36	34.89	-21.91	0.00
30	35.75	-12.81	0.00
94	31.58	-25.97	0.01
136	35.05	-17.44	0.00
38	18.78	-19.05	0.00
68	16.23	-20.35	0.00
80	16.23	-20.35	0.00
42	17.04	-21.50	0.00
28	17.07	-22.56	0.00
32	13.94	-18.84	0.00
40	20.50	-19.60	0.00
44	17.07	-22.56	0.07
50	17.55	-24.69	0.02
14	18.19	-25.60	0.00
34	18.19	-25.60	0.00
10	20.00	-21.00	0.00
16	16.58	-17.63	0.00
38	23.39	-17.96	0.00
106	14.19	12.34	0.09
50	3.47	7.23	0.00
52	4.00	8.00	0.00
284	6.73	0.34	0.05
114	-15.88	12.99	0.00
138	-17.45	14.69	0.00
158	45.37	2.07	0.03
42	29.00	-31.50	0.00
22	24.03	-28.68	0.00
40	20.78	-26.98	0.05
16	28.08	-26.20	0.00
40	25.07	-30.69	0.05
40	25.07	-30.69	0.00
40	20.78	-26.98	0.03
124	18.42	-33.92	0.22
32	27.67	-28.55	0.00
40	28.23	-25.71	0.00
16	24.25	-25.63	0.00
36	30.48	-22.95	0.00
40	19.01	-33.64	0.18
218	20.66	-34.16	0.00
50	30.96	-27.91	0.04
96	31.00	4.00	0.00
4	30.00	20.00	0.00
106	28.35	11.53	-
12	36.40	15.46	0.00
22	36.40	15.46	0.00
74	36.00	18.00	0.00
154	37.22	19.62	0.01
78	32.00	15.00	0.00
98	25.00	13.00	0.00
18	28.50	8.50	0.00
68	30.22	12.86	0.00
12	30.00	20.00	0.00
78	24.00	11.00	0.27
88	24.96	11.08	0.48
20	32.53	15.59	0.00
80	33.00	16.00	0.00
